Symbol,Date,Open,High,Low,Close,Volume,1-Trend,5-Trend,30-Trend,1-Future,5-Future,30-Future,1b-Trend,5b-Trend,30b-Trend,1b-Future,5b-Future,30b-Future
PFE,2/14/2025,25.73,25.83,25.47,25.53,"33,214,609",-0.24,0.13,0.67,0,0,0,0,1,1,,,
PFE,2/13/2025,25.49,25.74,25.33,25.64,"30,612,529",-0.01,0.93,0.99,-0.24,0,0,0,1,1,0,,
PFE,2/12/2025,25.48,25.62,25.17,25.47,"31,671,609",0.35,0.47,0.95,-0.01,0,0,1,1,1,0,,
PFE,2/11/2025,25.83,25.91,25.46,25.53,"36,593,281",-0.05,0.27,0.81,0.35,0,0,0,1,1,1,,
PFE,2/10/2025,25.78,26.12,25.51,25.87,"39,632,711",0.08,0.52,0.81,-0.05,0,0,1,1,1,0,,
PFE,2/7/2025,25.86,25.96,25.53,25.74,"36,512,820",0.56,1.1,0.5,0.08,0.13,0,1,1,1,1,1,
PFE,2/6/2025,26.42,26.47,25.78,25.83,"45,182,008",-0.47,0.24,-0.72,0.56,0.93,0,0,1,0,1,1,
PFE,2/5/2025,25.95,26.69,25.7,26.44,"50,426,781",0.15,0.85,-0.25,-0.47,0.47,0,1,1,0,0,1,
PFE,2/4/2025,26.1,26.92,25.6,25.87,"68,748,336",0.2,0.68,0.09,0.15,0.27,0,1,1,1,1,1,
PFE,2/3/2025,26.3,26.47,26.15,26.2,"49,626,219",0.66,-0.06,-0.4,0.2,0.52,0,1,0,0,1,1,
PFE,1/31/2025,26.96,27.01,26.42,26.52,"37,338,152",-0.3,-0.94,-1.37,0.66,1.1,0,0,0,0,1,1,
PFE,1/30/2025,26.66,27.01,26.58,26.91,"32,289,570",0.14,-0.65,-1.32,-0.3,0.24,0,1,0,0,0,1,
PFE,1/29/2025,26.8,27.07,26.57,26.62,"34,418,180",-0.02,-0.29,-1.62,0.14,0.85,0,0,0,0,1,1,
PFE,1/28/2025,26.78,26.86,26.49,26.75,"40,589,559",-0.54,-0.33,-1.4,-0.02,0.68,0,0,0,0,0,1,
PFE,1/27/2025,26.24,26.97,26.18,26.86,"50,648,559",-0.22,0.16,-0.14,-0.54,-0.06,0,0,1,0,0,0,
PFE,1/24/2025,26.02,26.2,25.96,26.09,"31,300,180",-0.01,0.05,-0.26,-0.22,-0.94,0,0,1,0,0,0,
PFE,1/23/2025,26.01,26.48,25.85,26.44,"40,987,047",0.5,0.51,-0.27,-0.01,-0.65,0,1,1,0,0,0,
PFE,1/22/2025,26.51,26.6,25.97,26.01,"41,890,422",-0.06,0.3,-1.28,0.5,-0.29,0,0,1,0,1,0,
PFE,1/21/2025,26.45,26.64,26.39,26.64,"39,745,594",-0.05,0.2,-1,-0.06,-0.33,0,0,1,0,0,0,
PFE,1/17/2025,26.4,26.56,26.22,26.3,"35,380,328",-0.33,0.47,-0.57,-0.05,0.16,0,0,1,0,0,1,
PFE,1/16/2025,26.07,26.57,25.96,26.49,"29,981,141",0.45,0.98,0,-0.33,0.05,0,1,1,,0,1,
PFE,1/15/2025,26.52,26.65,26.21,26.22,"35,949,688",0.29,0.49,-0.69,0.45,0.51,0,1,1,0,1,1,
PFE,1/14/2025,26.81,26.87,26.27,26.41,"25,856,910",-0.16,-0.1,-1.05,0.29,0.3,0,0,0,0,1,1,
PFE,1/13/2025,26.65,26.81,26.36,26.8,"28,359,600",0.22,0.05,-0.49,-0.16,0.2,0,1,1,0,0,1,
PFE,1/10/2025,26.87,27.05,26.69,26.72,"32,836,859",0.18,-0.12,-1.12,0.22,0.47,0,1,0,0,1,1,
PFE,1/8/2025,27.05,27.14,26.23,26.86,"35,430,719",-0.04,-0.65,-1.87,0.18,0.98,0,0,0,0,1,1,
PFE,1/7/2025,27.01,27.57,26.94,27.13,"35,029,961",-0.3,-0.53,-2.14,-0.04,0.49,0,0,0,0,0,1,
PFE,1/6/2025,26.71,27.25,26.56,26.89,"43,950,969",-0.01,-0.28,-1.64,-0.3,-0.1,0,0,0,0,0,0,
PFE,1/3/2025,26.7,26.84,26.52,26.59,"33,416,988",0.05,-0.06,-2,-0.01,0.05,0,1,0,0,0,1,
PFE,1/2/2025,26.75,26.86,26.56,26.61,"32,899,230",-0.35,-0.16,-1.78,0.05,-0.12,0,0,0,0,1,0,
PFE,12/31/2024,26.4,26.65,26.36,26.53,"27,085,471",0.08,-0.04,-0.7,-0.35,-0.65,0.67,1,0,0,0,0,1
PFE,12/30/2024,26.48,26.58,26.24,26.42,"32,859,109",-0.05,-0.78,0.26,0.08,-0.53,0.99,0,0,1,1,0,1
PFE,12/27/2024,26.43,26.85,26.42,26.62,"35,218,281",0.21,-0.73,-0.2,-0.05,-0.28,0.95,1,0,0,0,0,1
PFE,12/26/2024,26.64,26.72,26.48,26.56,"31,513,730",-0.05,-0.45,-0.41,0.21,-0.06,0.81,0,0,0,1,0,1
PFE,12/24/2024,26.59,26.77,26.38,26.74,"19,716,420",-0.23,-0.69,0.13,-0.05,-0.16,0.81,0,0,1,0,0,1
PFE,12/23/2024,26.36,26.75,26.19,26.71,"35,350,367",-0.66,-0.77,0.75,-0.23,-0.04,0.5,0,0,1,0,0,1
PFE,12/20/2024,25.7,26.49,25.7,26.36,"116,340,094",0,-0.36,1.83,-0.66,-0.78,-0.72,,0,1,0,0,0
PFE,12/19/2024,25.7,26.09,25.58,25.77,"50,324,680",0.49,-0.52,2.23,0,-0.73,-0.25,1,0,1,,0,0
PFE,12/18/2024,26.19,26.52,25.86,25.89,"47,575,129",-0.29,-0.81,1.55,0.49,-0.45,0.09,0,0,1,1,0,1
PFE,12/17/2024,25.9,26.46,25.86,26.43,"71,440,273",-0.31,0.2,2.2,-0.29,-0.69,-0.4,0,1,1,0,0,0
PFE,12/16/2024,25.59,25.75,25.22,25.25,"40,193,953",-0.25,0.17,2.89,-0.31,-0.77,-1.37,0,1,1,0,0,0
PFE,12/13/2024,25.34,25.66,25.26,25.58,"29,043,561",-0.16,0.4,3.11,-0.25,-0.36,-1.32,0,1,1,0,0,0
PFE,12/12/2024,25.18,25.48,25.06,25.37,"38,705,090",0.2,0.05,3.13,-0.16,-0.52,-1.62,1,1,1,0,0,0
PFE,12/11/2024,25.38,25.51,25.17,25.23,"39,569,367",0.72,0.07,3.63,0.2,-0.81,-1.4,1,1,1,1,0,0
PFE,12/10/2024,26.1,26.11,25.51,25.57,"43,280,551",-0.34,-0.27,2.5,0.72,0.2,-0.14,0,0,1,1,1,0
PFE,12/9/2024,25.76,26.44,25.58,26.1,"37,464,820",-0.02,0.31,2.92,-0.34,0.17,-0.26,0,1,1,0,1,0
PFE,12/6/2024,25.74,26.1,25.59,25.73,"31,830,730",-0.51,0.09,3.12,-0.02,0.4,-0.27,0,1,1,0,1,0
PFE,12/5/2024,25.23,25.79,25.14,25.7,"43,647,887",0.22,0.53,3.64,-0.51,0.05,-1.28,1,1,1,0,1,0
PFE,12/4/2024,25.45,25.5,25.18,25.23,"42,541,527",0.38,0.71,3.45,0.22,0.07,-1,1,1,1,1,1,0
PFE,12/3/2024,25.83,25.9,25.52,25.56,"49,064,301",0.24,-0.08,3.39,0.38,-0.27,-0.57,1,0,1,1,0,0
PFE,12/2/2024,26.07,26.22,25.73,25.82,"43,866,359",-0.24,-0.89,3.23,0.24,0.31,0,0,0,1,1,1,
PFE,11/29/2024,25.83,26.23,25.77,26.21,"22,023,020",-0.07,-0.96,3.65,-0.24,0.09,-0.69,0,0,1,0,1,0
PFE,11/27/2024,25.76,25.95,25.7,25.83,"28,242,090",0.4,-0.69,3.74,-0.07,0.53,-1.05,1,0,1,0,1,0
PFE,11/26/2024,26.16,26.24,25.61,25.77,"33,001,020",-0.41,-1.46,2.93,0.4,0.71,-0.49,0,0,1,1,1,0
PFE,11/25/2024,25.75,26.45,25.74,26.17,"57,707,648",-0.57,-0.78,3.41,-0.41,-0.08,-1.12,0,0,1,0,0,0
PFE,11/22/2024,25.18,25.75,25.1,25.65,"41,896,992",-0.31,0.52,4.18,-0.57,-0.89,-1.87,0,1,1,0,0,0
PFE,11/21/2024,24.87,25.22,24.78,25.13,"45,048,359",0.2,1.87,5.02,-0.31,-0.96,-2.14,1,1,1,0,0,0
PFE,11/20/2024,25.07,25.1,24.65,24.94,"46,170,793",-0.37,1.16,4.15,0.2,-0.69,-1.64,0,1,1,1,0,0
PFE,11/19/2024,24.7,25.11,24.61,25.1,"52,381,207",0.27,1.53,4.51,-0.37,-1.46,-2,1,1,1,0,0,0
PFE,11/18/2024,24.97,25.25,24.7,24.86,"64,261,281",0.73,1.75,4.4,0.27,-0.78,-1.78,1,1,1,1,0,0
PFE,11/15/2024,25.7,25.7,24.48,24.8,"131,074,406",1.04,1.41,2.59,0.73,0.52,-0.7,1,1,1,1,1,0
PFE,11/14/2024,26.74,26.85,25.84,26.02,"45,262,219",-0.51,0.79,1.76,1.04,1.87,0.26,0,1,1,1,1,1
PFE,11/13/2024,26.23,26.75,25.98,26.72,"47,983,090",0,1.7,2.37,-0.51,1.16,-0.2,,1,1,0,1,0
PFE,11/12/2024,26.23,26.44,25.95,26.19,"53,035,230",0.49,1.51,2.82,0,1.53,-0.41,1,1,1,,1,0
PFE,11/11/2024,26.72,26.83,26.22,26.24,"54,329,262",0.39,1.38,2.39,0.49,1.75,0.13,1,1,1,1,1,1
PFE,11/8/2024,27.11,27.15,26.71,26.72,"55,951,320",0.42,1.37,1.91,0.39,1.41,0.75,1,1,1,1,1,1
PFE,11/7/2024,27.53,27.59,27.34,27.46,"48,484,781",0.4,0.92,0.95,0.42,0.79,1.83,1,1,1,1,1,1
PFE,11/6/2024,27.93,27.99,27.08,27.36,"65,749,523",-0.19,0.38,1.67,0.4,1.7,2.23,0,1,1,1,1,1
PFE,11/5/2024,27.74,28,27.58,27.99,"44,175,840",0.36,1.27,1.51,-0.19,1.51,1.55,1,1,1,0,1,1
PFE,11/4/2024,28.1,28.14,27.73,27.76,"41,347,820",0.38,0.5,1.33,0.36,1.38,2.2,1,1,1,1,1,1
PFE,11/1/2024,28.48,28.54,28.05,28.09,"46,894,559",-0.03,0.2,1.06,0.38,1.37,2.89,0,1,1,1,1,1
PFE,10/31/2024,28.45,28.64,28.29,28.3,"37,909,602",-0.14,0.41,1.44,-0.03,0.92,3.11,0,1,1,0,1,1
PFE,10/30/2024,28.31,28.6,28.19,28.52,"47,104,020",0.7,0.56,1.69,-0.14,0.38,3.13,1,1,1,0,1,1
PFE,10/29/2024,29.01,29.17,28.03,28.46,"102,267,000",-0.41,-0.11,1.04,0.7,1.27,3.63,0,0,1,1,1,1
PFE,10/28/2024,28.6,28.94,28.56,28.86,"37,922,527",0.08,0.62,0.97,-0.41,0.5,2.5,1,1,1,0,1,1
PFE,10/25/2024,28.68,28.73,28.44,28.45,"26,091,109",0.18,0.62,0.48,0.08,0.2,2.92,1,1,1,1,1,1
PFE,10/24/2024,28.86,28.98,28.5,28.64,"31,473,590",0.01,0.62,0.72,0.18,0.41,3.12,1,1,1,1,1,1
PFE,10/23/2024,28.87,29.11,28.67,28.86,"22,217,570",0.03,0.63,0.81,0.01,0.56,3.64,1,1,1,1,1,1
PFE,10/22/2024,28.9,28.99,28.6,28.84,"29,036,391",0.32,0.19,0.52,0.03,-0.11,3.45,1,1,1,1,0,1
PFE,10/21/2024,29.22,29.22,28.88,28.93,"23,395,660",0.08,-0.06,-0.68,0.32,0.62,3.39,1,0,0,1,1,1
PFE,10/18/2024,29.3,29.37,29.08,29.22,"24,244,869",0.18,0.06,-0.74,0.08,0.62,3.23,1,1,0,1,1,1
PFE,10/17/2024,29.48,29.53,29.22,29.27,"23,779,150",0.02,0.41,-1.05,0.18,0.62,3.65,1,1,0,1,1,1
PFE,10/16/2024,29.5,29.82,29.43,29.67,"28,414,750",-0.41,-0.28,-1.21,0.02,0.63,3.74,0,0,0,1,1,1
PFE,10/15/2024,29.09,29.74,29.07,29.44,"29,009,881",0.07,0.12,-0.44,-0.41,0.19,2.93,1,1,0,0,1,1
PFE,10/14/2024,29.16,29.17,28.85,29.08,"23,594,180",0.2,0.21,-0.44,0.07,-0.06,3.41,1,1,0,1,0,1
PFE,10/11/2024,29.36,29.44,28.95,29.16,"29,617,609",0.53,-1.07,-0.49,0.2,0.06,4.18,1,0,0,1,1,1
PFE,10/10/2024,29.89,30.08,29.28,29.34,"34,347,727",-0.67,-1.39,-1.11,0.53,0.41,5.02,0,0,0,1,1,1
PFE,10/9/2024,29.22,30.43,29.1,30.19,"44,244,840",-0.01,-0.62,-0.24,-0.67,-0.28,4.15,0,0,0,0,0,1
